Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Rottweiler,"Rottweilers were originally dogs bred to drive cattle to market. Later they were used to pull carts for butchers. They were among the earliest police dogs and serve with honor in the military. Most important, they are popular family guardians and friends. DogTime recommends this big, spacious crate to give your big Rottweiler a place to rest and relax. You should also pick up this dog brush and massager for your short-haired pup! Read all about Rottweiler Puppies here! See all Rottweiler characteristics below! Additional articles that will interest you:",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22942_rottweiler-460x290.jpg,2,1,4,1,2,3,2,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,4,Working Dogs,13.97,48.76,9.5
Rat Terrier,"Members of the Rat Terrier dog breed are adorable little digging escape artists who are true terriers : feisty, funny, energetic, lively, vermin-chasing, and incapable of being boring. Stubborn as all get out, they are not big on pleasing people, but the people who love them laugh all the time. The Rat Terrier is the ideal farm dog that he was always intended to be. President Theodore Roosevelt is said to have given the breed its name after his own terrier had eradicated the rat infestation at the White House; clearly, the Rat Terrier excels as a public servant — as long as it’s in his own best interest. He’s an American tradition just like apple pie, but watch your plate or you may find you’re missing dessert.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23226_rat-terrier-dog-breed.jpg,5,3,4,3,1,4,3,4,5,3,4,4,4,1,5,4,3,1,3,5,4,2,4,1,4,3,5,4,4,5,5,Terrier Dogs,2.54,,7.03
Pyrenean Shepherd,"These lean but muscular dogs have breathtaking speed, grace, and intelligence. Their passion for their family is matched only by their passion for work, and Pyr Shep dog breed owners should be prepared to give their dogs a job to do, whether it’s a competitive dog sport or a flock of sheep to boss around.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23246_pyrenean-shepherd-460x290.jpg,5,2,4,1,4,3,3,5,5,2,2,4,3,1,3,2,3,2,2,2,4,3,4,5,2,3,4,5,5,5,5,Herding Dogs,5.08,12.47,16.0
Saluki,"One of the oldest of dog breeds , Salukis were once considered a gift from Allah. They’re fast as the wind, skinny as a supermodel, and quietly devoted to their people. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. A Saluki is easy to groom, challenging to train, and not to be trusted off leash. Not well-suited for apartment life or for being left home alone all day, these dogs need space to roam, preferably in a yard with a high fence, as they have a high prey drive and will wander if allowed. They’d also fair better with an experienced pet parent who can stay firm and consistent with training while providing them with the exercise they need. Give your Saluki the love and care they crave, and you’ll have a loyal, lifelong companion. DogTime recommends this big, spacious crate to give your big Saluki a place to rest and relax. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23044_saluki-460x290.jpg,1,2,5,1,2,3,2,5,4,4,1,4,2,1,4,4,1,4,3,4,4,4,5,1,5,4,5,2,5,5,4,Hound Dogs,64.77,23.81,13.0
Saint Berdoodle,"The Saint Berdoodle is a mixed breed dog–a cross between the Saint Bernard and Poodle dog breeds. Friendly, intelligent, and loyal, Saint Berdoodles are great family dogs. The Saint Berdoodle is also known as the Saint Berpoo, St. Berpoo, and St. Berdoodle . Although they are “designer dogs,” you can find them at general and breed-specific Saint Bernard and Poodle rescues. These affectionate pups would do best in a home where they can be around family most of the time . Though both parent breeds have tendencies for curiosity that may lead to mischief, especially the St. Bernard, with early training and socialization, this trait can be honed to be helpful, rather than destructive. While there’s also a range of energy levels for these dogs, it’s best to be prepared for a large dog who may need space or extra attention around small children. Saint Berdoodles are versatile dogs who just want to love and be part of the family.",https://cdn2-www.dogtime.com/assets/uploads/2019/08/saint-berdoodle-mixed-dog-breed-pictures-cover.jpg,2,5,3,2,4,3,3,5,5,5,4,5,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,Mixed Breed Dogs,57.15,49.9,10.0
Puli,"Best known for his long, corded coat resembling dreadlocks, the Puli is a hardworking herding dog and family companion. Energetic and lively, this moplike dog breed hailing from Hungary appears much larger than he is due to that distinctive coat. Thanks to his self-confidence and intelligence, the Puli will have no problem being the center of attention in your home.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23196_puli-460x290.jpg,4,1,4,2,4,3,3,5,5,5,2,4,1,1,1,5,3,3,2,2,4,3,4,4,5,4,5,5,5,5,5,Herding Dogs,6.35,13.61,12.5
Rottle,"The Rottle is a mixed breed dog–a cross between the Rottweiler and Poodle dog breeds. Playful, intelligent, and eager to please, these pups inherited some of the best qualities from both of their parents. Rottles go by several names, including Rottipoo and Rottidoodle. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups can be excellent apartment dogs for active urban dwellers, though they do tend to thrive in homes with families. If you want a highly intelligent dog who loves to cuddle and please their humans, this might be the right dog for you!",https://cdn2-www.dogtime.com/assets/uploads/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg,4,3,3,3,3,3,3,5,4,3,3,4,2,2,4,4,3,3,3,5,5,3,3,2,2,3,4,3,4,5,4,Mixed Breed Dogs,49.53,34.02,12.0
Pyredoodle,"The Pyredoodle is a mixed breed dog–a cross between the Great Pyrenees and Standard Poodle dog breeds. Calm, fearless, and loyal, these pups inherited some of the best traits from both of their parents. Pyredoodles go by a few other names, including Pyreneespoo, Pyrepoo, and Pyreneesdoodle . Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great pets for single people and families alike and can even adapt to apartment living, but they’re best suited for a home with a yard due to their larger size. They are generally quiet, but will bark to alert their humans of any dangers and are known to become very protective of children in their household. If you’re looking for a gentle giant with a big heart that will guard your home and your family, the Pyredoodle may be the right dog for you! DogTime recommends this big, spacious crate to give your big Pyredoodle a place to rest and relax. You should also pick up this dog brush and massager for your long-haired pup!",https://cdn3-www.dogtime.com/assets/uploads/2020/03/pyredoodle-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,4,3,3,5,4,4,3,4,2,2,3,4,3,4,3,3,5,3,2,3,5,4,4,3,4,5,4,Mixed Breed Dogs,59.69,41.96,11.0
Puginese,"The Puginese is a mixed breed dog–a cross between the Pug and Pekingese dog breeds. Affectionate, sensitive, and independent, these pups inherited some of the best traits from both of their parents. Puginese dogs go by a few different names, including Pekeapug and Pugapeke . Despite their status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable, little pups make great apartment dogs for people with busier schedules, as well as companion animals for small families or seniors. They’re known to be a bit skittish, so they’ll need to reside in a more calm, quiet household. They prefer the indoors and aren’t particularly “yappy,” but is known to bark at strangers who enter the home, making them excellent watchdogs. If you want a loyal companion and a small dog with a big personality, the Puginese may be the right dog for you! DogTime recommends this carrier for traveling with your small Puginese. You should also pick up this dog brush and massager for your short-haired pup!",https://cdn1-www.dogtime.com/assets/uploads/2020/03/puginese-mixed-dog-breed-pictures-cover.jpg,5,3,5,4,3,1,4,4,3,2,2,3,3,1,4,3,5,2,3,2,2,2,,3,1,2,3,3,3,4,3,Mixed Breed Dogs,25.4,5.67,13.0
Pomsky,"Cute, silly, and suited for apartment life, the Pomsky is a dog who likes to be the center of attention, and with their adorable looks and playful antics, they often get the adoration they crave. Their unfortunate start as a designer breed mixed between Siberian Husky and Pomeranian parents hasn’t stopped them from earning popularity with dog lovers. Unfortunately, those who rush to buy Pomsky puppies from breeders are often overwhelmed and unprepared for their needs, and dogs of this breed sometimes find themselves left at shelters or with rescue groups. You should always consider adoption first, and there are plenty of organizations that can help you find a Pomsky looking for a forever home if you decide that this is the breed for you.",https://cdn1-www.dogtime.com/assets/uploads/2017/10/pomsky-dog-breed-pictures-header-460x260.jpg,5,2,4,1,5,3,3,5,2,3,3,3,4,1,2,3,3,2,3,3,4,3,4,5,2,4,4,2,3,4,3,Mixed Breed Dogs,31.75,10.21,13.5
Portuguese Water Dog,"The Portuguese Water dog breed once served as crew on fishing trips, retrieving lost gear, and herding fish into nets. Today, he’s a fun-loving family companion — represented by Bo Obama, former First Dog of the U.S. — who still retains the intelligence and love of the water (not to mention the webbed feet) that made him so valuable to his human family. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Portuguese Water Dog. You should also pick up this dog brush and massager for your long-haired pup! See all Portuguese Water Dog characteristics below! Additional articles you will be interested in: Adoption Dog Names Bringing Home Your Dog Help with Training Puppies Housetraining Puppies Feeding a Puppy Dog games Teaching your dog tricks How to take pictures of your dog",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22940_portuguese-water-dog-460x290.jpg,4,3,4,2,4,3,3,5,5,5,3,5,1,1,2,4,3,3,2,4,5,5,3,3,3,4,5,3,5,5,5,Working Dogs,7.62,21.55,12.0
Pug,"Pugs often are described as a lot of dog in a small space. These sturdy, compact dogs are a part of the American Kennel Club’s Toy group, and are known as the clowns of the canine world because they have a great sense of humor and like to show off. Originally bred to be a lap dog, the Pug thrives on human companionship . PUG PUPPIES – INFO AND PICS!!! Additional articles you will be interested in: Adoption Pug Dog Names More Dog Names Bringing Home Your Dog Help with Training Puppies Housetraining Puppies Feeding a Puppy Dog games Teaching your dog tricks How to take pictures of your dog",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23124_pug-460x290.jpg,5,5,3,1,2,1,3,5,4,4,4,4,5,1,5,1,5,2,3,3,2,2,3,2,2,2,3,4,3,5,4,Companion Dogs,,7.26,13.5
Pugalier,"The Pugalier is a mixed breed dog–a cross between the Pug and Cavalier King Charles Spaniel dog breeds. Small, adorable, and loyal, these pups inherited some of the best qualities from both of their parents. Pugaliers usually don’t go by other names except maybe “Pug/Cavalier King Charles Spaniel mix.” Despite their unfortunate status as a designer breed, you can find these pups, in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These adorable pups make great family additions for active singles or families with children of all ages. Large homes or small apartments suit them fine. As long as you provide plenty of love, these pups are quite versatile and can thrive in almost any environment. If you’re looking for a companion to charm you, this may be your next pup!",https://cdn1-www.dogtime.com/assets/uploads/2019/11/pugalier-mixed-dog-breed-pictures-cover.jpg,5,5,5,2,2,2,4,5,5,5,5,5,4,1,4,3,5,2,3,4,3,3,3,3,2,3,3,3,3,5,4,Mixed Breed Dogs,30.48,6.8,13.5
Poochon,"The Poochon is a mixed breed dog–a cross between the Toy Poodle and Bichon Frise dog breeds. Small, happy, and intelligent, these pups inherited some of the best qualities from both of their parents. Researching their parents can offer much insight into their personalities and characteristics. Poochons are also called Bichpoo, Bichon Poo, and Bichon Poodle . Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups would be a great addition to a big family or single person household. They would also do well in an apartment. Just make sure to start training early to curb excessive barking. If you want a playful, cuddly, low-shed pup, who will love you unconditionally, the Poochon may be the right dog for you! Additional articles you will be interested in:",https://cdn3-www.dogtime.com/assets/uploads/2019/07/poochon-mixed-dog-breed-pictures-cover.jpg,5,5,5,1,3,4,4,5,5,4,4,5,1,1,1,3,4,2,2,5,4,3,3,2,2,3,4,3,4,5,4,Mixed Breed Dogs,30.48,5.22,13.5
Pomeranian,"Descended from large sled dog breeds , the now-tiny Pomeranian has a long and interesting history. The foxy-faced dog, nicknamed “the little dog who thinks he can,” is compact, active, and capable of competing in agility and obedience or simply being a family friend. Read all about your new Pomeranian Puppy !",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23122_pomeranian-460x290.jpg,4,4,4,1,4,2,3,5,2,2,3,3,4,1,2,3,4,1,3,4,4,2,2,5,1,3,3,2,2,3,3,Companion Dogs,,2.27,14.0
Portuguese Podengo Pequeno,"The Portuguese Podengo Pequeno is a purebred dog from Portugal and is the smallest of the three Portuguese Podengo size classes that are not interbred. Alert, lively, and playful, these pooches are a compact-but-charming bunch to be around. Portuguese Podengo Pequenos go by several other names, such as Podengo Portuguese, Portuguese Warren Hound, and the Portuguese Rabbit Dog. If you are interested in this small pure breed, you can check your local shelters or breed-specific rescues near you. Remember to adopt and not shop! These small pups make great apartment dogs for city dwellers due to their size and temperament. They are well-suited for households of all types, including singles and families with children of all ages. They are quite lively and will bark once and a while. If you want a playful and active pup who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, the Portuguese Pondengo Pequeno may be the right dog for you!",https://cdn2-www.dogtime.com/assets/uploads/2019/09/Portuguese-Podengo-Pequeno-dog-breed-pictures-cover.jpg,5,4,3,3,2,3,3,4,4,4,4,4,3,1,4,4,2,1,3,4,3,3,4,4,3,4,5,3,3,3,4,Hound Dogs,25.4,4.99,13.5
Pomeagle,"The Pomeagle is a mixed breed dog–a cross between the Pomeranian and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents. Pomeagles also go by the names Beagle Pom or Pomeranian Beagle mix. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups do well in apartments and houses with fenced yards. Just make sure the yard is secure, as they have a tendency to track and follow scents. Their wanderlust could lead them into dangerous situations, like traffic. So be careful and take extra precautions. They also do well in large families with older children. Pomeagles love endless play sessions and activity. They should not be left alone for long periods. Multiple pet families would be ideal. Isolation is their biggest enemy.",https://cdn3-www.dogtime.com/assets/uploads/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg,4,4,4,1,3,2,3,5,3,3,3,4,4,1,2,3,4,1,3,3,2,3,3,5,4,3,4,3,3,4,4,Mixed Breed Dogs,21.59,6.8,13.5
Pomchi,"The Pomchi is a mixed-breed dog–a cross between the Pomeranian and the Chihuahua dog breeds. Playful, devoted, and energetic, these small pups inherited some of the best qualities from both of their parents. Pomchis go by several names, including Pomahuahua, Chimeranian, Chi-Pom, and Pom-Chi. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These adorable pups make excellent apartment dogs for active urban dwellers, and they also do well in small and single-person households. If you’re looking for a small, attention-loving dog with a lot of spunk, then the Pomchi may be the right dog for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/08/pomchi-mixed-dog-breed-pictures-cover.jpg,4,3,3,3,2,4,3,4,3,3,3,3,3,1,2,5,4,1,3,3,4,4,3,4,3,4,3,4,3,4,4,Mixed Breed Dogs,20.32,3.63,15.0
Poodle,"Elegant. Proud. Clever. Poodles are impressive dogs, as the many best-in-show winners from this dog breed can attest. Behind the blue ribbons, impressive hairdos, and regal attitude, you’ll find an affectionate family dog with an ancient history and many talents. Poodles are regarded as one of the most intelligent breeds in the world. They’re highly trainable and well suited for just about any task you put them to–and you will want to give them tasks to do. Bored Poodles can get destructive if they aren’t physically and mentally stimulated. But active owners who can meet the Poodle’s needs will find a loving, smart, trainable, and loyal family companion.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23200_poodle-460x290.jpg,5,5,4,1,3,4,4,5,5,4,4,5,1,1,1,2,4,4,2,5,5,4,2,2,3,4,4,3,4,5,4,Companion Dogs,,26.08,13.5
Pharaoh Hound,"The Pharaoh Hound is an ancient dog breed that’s changed little since their development more than 5,000 years ago. They were the dogs of kings and may have hunted gazelles with pharaohs, hence their name. This loyal hunting companion later made their way to Malta, where they’re now the national dog. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. You need not be royalty to befriend the Pharaoh Hound. Adaptable and affectionate, these pups make great family companions, even for novice pet parents and apartment dwellers. Pharaoh Hounds delight their humans with clownish antics and will love to make you laugh. They also have a sensitive side, though, and are even known to blush! Return this pup’s love in kind, and you’ll have a loyal friend for life. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Pharaoh Hound. You should also pick up this interactive puzzle toy to keep your pup active indoors!",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23038_pharaoh-hound-460x290.jpg,4,4,5,2,1,5,4,5,5,5,4,5,2,1,4,5,3,3,3,3,4,4,5,4,4,4,2,3,4,4,3,Hound Dogs,58.42,22.68,12.5
Plott,"The pack-hunting Plott dog breed was developed in North Carolina more than 200 years ago to hunt bear and wild boar. They are still used as hunting dogs today and have proven their worth as pack hunters. They also participate in tracking and other dog sports. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. Plotts are best suited to life in the country where they have plenty of room to roam. They need lots of exercise and, due to their pack hunting heritage, would likely prefer a home with at least one other resident canine. Socialization is a must with this breed. Make sure you have a high fence, wherever you live, if you bring one of these pups home, though. They love to chase and wander. Give your dog plenty of physical activity and consistent training, and you’ll be rewarded with a loyal companion for life. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Plott. You should also pick up this dog brush and massager for your short-haired pup!",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23040_plott-460x290.jpg,1,1,4,2,2,4,2,4,3,5,3,4,2,1,5,5,3,3,3,4,3,3,5,1,5,4,4,4,5,3,4,Hound Dogs,59.69,26.08,13.0
Polish Lowland Sheepdog,"Originally bred for herding and guarding, the Polish Lowland Sheepdog is still an excellent working dog breed . He is obedient and fearless, good-natured with people and other dogs, but highly protective of his flock. He is intelligent, active, strong, and handsome with his characteristic multicolored shaggy coat. In recent years, he has gained popularity as a companion dog.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23194_polish-lowland-sheepdog-460x290.jpg,4,2,4,3,4,4,4,5,4,3,3,4,1,1,1,4,3,3,2,4,4,3,3,2,3,3,4,3,4,4,4,Herding Dogs,7.62,20.41,11.0
Puggle,"The Puggle is a mix between the Beagle and Pug dog breeds. He’s become fairly popular, thanks to his fun-loving personality and cute looks. He gets along with kids and other dogs, and can make a great family companion. Just be aware that the Puggle may enjoy barking, and although he’s intelligent and loving, he’s not always eager to please when it comes to training.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23212_puggle-460x290.jpg,4,5,3,3,3,3,4,3,5,5,5,5,3,1,5,4,5,2,3,2,3,3,2,4,5,3,3,2,3,3,3,Hybrid Dogs,2.54,10.89,12.5
Pointer,"Bred for several hundred years to “point” birds and small game such as rabbits, the Pointer is a versatile field dog and exceptional family dog breed . They excel in many arenas, from the field to the show ring, agility to obedience. Energetic and fun-loving, they’re well suited to active homes where they’ll can be loving members of the family. Apartment dwellers beware, though. These dogs need plenty of space to play and lots of daily exercise to keep their high energy in check. Otherwise, they may find their own fun by acting out with unwanted behaviors. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Pointer. You should also pick up this dog brush and massager for your short-haired pup! See all Pointer characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22992_pointer-460x290.jpg,1,1,3,1,2,4,2,5,5,5,5,5,3,1,5,3,3,3,3,5,5,5,5,3,5,5,5,5,5,5,5,Sporting Dogs,15.24,27.22,13.5
Pomapoo,"The Pomapoo is a mixed breed dog–a cross between the Pomeranian and Toy Poodle dog breeds. Compact, intelligent, and affectionate, these pups inherited some of the best qualities from both of their parents. Pomapoos are also called Pooranian, Pompoo, and Pomeroodle. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great apartment dogs, and they also work well in large households. Socialize them early to bring out their best qualities and ensure a friendly, confident pup. Read on, to find out if this mixed breed is the right dog for you.",https://cdn3-www.dogtime.com/assets/uploads/2019/08/pomapoo-mixed-dog-breed-pictures-cover.jpg,5,5,4,1,3,2,3,5,3,3,3,4,3,1,1,3,4,1,2,4,4,3,2,3,1,3,3,3,3,4,3,Mixed Breed Dogs,22.86,4.54,13.5
Pitsky,"The Pitsky is a mixed breed dog–a cross between the American Pit Bull Terrier and Siberian Husky dog breeds. They range in size from medium to large, they are energetic, and loyal, these pups inherited some of the best qualities from both of their parents. Pitskies don’t go by any other names–maybe because Hutbull doesn’t have the same ring–just Pitsky or Husky/Pit mix or Pit/Husky mix. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These high energy dogs need fast-paced lifestyles. Novice dog parents are not recommended. Pitskies are demanding and high maintenance. If you love Siberian Huskies and American Pit Bull Terriers and have experience with both, then this mixed breed may be a perfect choice for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/07/pitsky-mixed-dog-breed-pictures-cover.jpg,2,1,4,1,3,3,2,5,5,3,5,5,4,2,3,4,2,3,3,3,3,4,3,4,4,4,4,4,5,5,5,Mixed Breed Dogs,52.07,24.95,14.0
Pekingese,Pekingese were dogs bred for centuries to be the cherished companions of the imperial family of China. Today they are still cherished family companions and show dogs who greet everyone they meet with dignity and grace.,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23120_pekingese-460x290.jpg,5,4,2,3,4,1,3,5,2,2,2,3,4,1,1,2,3,1,2,3,4,3,5,4,3,4,2,1,2,3,2,Companion Dogs,,4.76,13.5
Pocket Beagle,"Smaller than the average Beagle dog breed , these compact scenthounds are merry and fun-loving, but they’re still hounds and as such require patience and creative training techniques to overcome their sometimes stubborn nature.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23234_pocket-beagle-460x290.jpg,4,3,4,2,2,4,3,5,5,5,4,5,3,1,5,3,5,2,3,3,4,4,3,5,5,4,4,4,4,4,4,Hound Dogs,,4.99,10
Pembroke Welsh Corgi,"Originally bred to herd cattle , sheep, and horses, the Pembroke Welsh Corgi is an active and intelligent dog breed . Easy to train and eager to learn, Pembrokes are great with children and other pets, and you can find them in four different coat colors and markings. All About Corgi Puppies !",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23192_pembroke-welsh-corgi-460x290.jpg,4,4,4,3,4,3,4,5,4,3,5,4,5,1,4,3,4,2,3,5,5,2,3,2,2,3,4,3,4,4,4,Herding Dogs,,13.61,13.0
Papipoo,"The Papipoo is a mixed breed dog–a cross between the Papillon and Poodle dog breeds. Loving, intelligent, and active, this devoted, little dog wants to be part of all family activities. Papipoos are also known as Papoodles, Papi Doodles, Papidoodles, and Papi Poos. They’re considered “designer dogs,” making them in high demand, which also means they’re readily found in shelters or rescues. Please adopt if you’d like to add one of these pups to your life. Remember, when you adopt, you save two lives–the one you bring home and the one you make room for at the shelter. As a cross between old-world breeds known for their intelligence and athleticism, the Papipoo has it all, with brains and brawn, not to mention beauty. Although these dogs are active, their size lends well to any dwelling, including small apartments. Their sociability makes them a good fit for all types of families, provided they get attention throughout the day. If you want an affectionate, little lapdog who may also be a contender for the Canine Olympics, this may be a perfect dog for you!",https://cdn2-www.dogtime.com/assets/uploads/2020/01/papipoo-mixed-dog-breed-pictures-cover-1.jpg,5,5,4,1,2,4,4,5,3,4,4,4,1,1,2,3,3,1,2,5,5,3,3,2,2,3,5,3,5,5,5,Mixed Breed Dogs,26.67,4.54,12.0
Otterhound,"The large and rough-coated Otterhound was originally bred for hunting otter in England. Built for work, the dog breed has a keen nose and renowned stamina. This is an uncommon breed, with fewer than ten litters born each year in the United States and Canada. Still some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. Otterhounds are also playful clowns, friendly and affectionate with their families. They even love kids and other dogs, and they crave playtime and plenty of exercise to burn off their high energy. In fact, apartment dwellers will find it very difficult to provide enough space for them to run and move. But those who have room to roam and love to give will be rewarded with a loving companion who will never fail to delight their humans with silly antics and fun. DogTime recommends this big, spacious crate to give your big Otterhound a place to rest and relax. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23034_otterhound-460x290.jpg,1,4,2,5,4,3,3,5,5,5,4,5,4,1,2,4,3,4,3,2,4,3,5,2,5,4,5,4,5,5,5,Hound Dogs,64.77,,4.99
Petit Basset Griffon Vendéen,"The Petit Basset Griffon Vendéen is a small scent hound who has won the hearts of millions. Although the dog breed appears to be designed for winsome cuteness, in actuality, PBGVs are tough hunters who were developed for a specific purpose: to hunt small game in the rough terrain of the Vendeen region of France. The breed is known for a merry and outgoing personality. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. Adaptable and affectionate, these pups can fair well in apartment living situations. They do have high energy levels, though, and because of that, they need plenty of exercise. PBGVs can also have a stubborn streak, so they’ll need plenty of consistent training with lots of positive reinforcement. If you can provide this pooch with lots of physical activity and care, you’ll be rewarded with a loving companion for the whole family, even for other resident canines. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Petit Basset Griffon Vendéen. You should also pick up this interactive puzzle toy to keep your pup active indoors!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23036_petit-basset-griffon-vendeen-460x290.jpg,4,3,3,3,4,3,3,5,5,5,5,5,4,1,2,3,4,2,3,1,4,3,5,5,5,4,5,4,5,5,5,Hound Dogs,35.56,15.88,14
Papillon,"The Papillon dog breed descends from the toy spaniels that are frequently portrayed in paintings by the Old Masters, from as far back as the 16th century. He’s highly active and is a wonderful competitor in agility and obedience. His sparkling personality makes him a favorite of all who meet him.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23118_papillon-460x290.jpg,5,5,3,1,2,4,3,5,3,4,5,4,2,1,3,3,3,1,2,5,4,3,4,2,1,3,4,3,5,5,4,Companion Dogs,,2.95,14.0
Norwegian Lundehund,"With six toes on each foot—all of them double- or triple-jointed—and an amazing range of motion, this agile dog breed was used to scale cliffs and rob puffin nests of their eggs. Along with the Norwegian Lundehund’s acrobatic talents, they have a knack for barking and digging, making them a good choice only if you’re prepared to give them lots of supervision and training. They can be very tough to housetrain.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23276_norwegian-lundehund-460x290.jpg,1,1,3,2,5,3,3,5,5,5,5,5,5,1,4,3,3,3,3,4,5,3,2,1,5,3,4,4,5,5,5,Working Dogs,,6.58,11.0
Nova Scotia Duck Tolling Retriever,"The Nova Scotia Duck Tolling Retriever dog breed was created to both lure and retrieve waterfowl . This versatile breed excels in the field and show ring, in obedience and agility, and as a companion to an active family. Highly adaptable and affectionate, these dogs can even fair well in apartments, so long as their humans can keep up with providing enough exercise and lots of daily walks. Without adequate activity, they can end up growing bored and acting out with unwanted behaviors. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Nova Scotia Duck Tolling Retriever. You should also pick up this dog water bottle for any outdoor adventures you have with your pup! See all Nova Scotia Duck Tolling Retriever dog breed traits below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22990_nova-scotia-duck-tolling-retriever-460x290.jpg,5,3,3,2,4,4,4,5,5,4,4,5,3,1,5,4,4,3,3,4,5,4,5,4,3,4,5,3,5,5,5,Sporting Dogs,7.62,19.28,12.0
Norwegian Buhund,"Intelligent, independent, and eager to please, the Norwegian Buhund dog breed can handle all kinds of dog jobs and sports with ease. They need lots of exercise and attention, and they’re quick learners.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23284_norwegian-buhund-460x290.jpg,3,3,3,4,5,2,3,5,5,3,3,4,3,1,2,4,3,3,3,4,3,3,2,4,4,3,4,4,5,5,5,Herding Dogs,6.35,14.97,13.5
